customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
C0001,Male,0,Yes,Yes,14,Yes,Fiber optic,Two year,28.3,396.2,No
C0002,Female,0,No,No,36,Yes,DSL,Month-to-month,72.66,2615.76,No
C0003,Male,0,No,No,23,No,No,One year,40.36,928.28,No
C0004,Male,0,Yes,No,66,Yes,DSL,Two year,100.61,6640.26,Yes
C0005,Male,0,No,No,2,Yes,Fiber optic,One year,90.52,181.04,No
C0006,Female,1,Yes,Yes,65,No,Fiber optic,Month-to-month,82.97,5393.05,Yes
C0007,Male,0,No,No,67,No,DSL,One year,75.52,5059.84,No
C0008,Male,0,Yes,No,52,Yes,DSL,Month-to-month,97.71,5080.92,No
C0009,Male,0,Yes,No,62,Yes,Fiber optic,Month-to-month,40.08,2484.96,Yes
C0010,Female,0,No,Yes,23,Yes,Fiber optic,Month-to-month,98.58,2267.34,Yes
C0011,Male,0,Yes,No,26,Yes,DSL,One year,91.05,2367.3,No
C0012,Male,0,Yes,Yes,68,Yes,DSL,Month-to-month,87.33,5938.44,No
C0013,Male,0,No,Yes,55,Yes,DSL,Two year,70.51,3878.05,No
C0014,Male,0,Yes,No,6,Yes,Fiber optic,One year,42.16,252.96,Yes
C0015,Female,0,Yes,No,35,Yes,Fiber optic,Month-to-month,58.12,2034.2,Yes
C0016,Male,0,No,No,22,Yes,DSL,Two year,91.42,2011.24,No
C0017,Female,0,No,Yes,43,Yes,DSL,Month-to-month,22.86,982.98,Yes
C0018,Female,0,Yes,No,15,Yes,DSL,Two year,90.38,1355.7,No
C0019,Female,0,Yes,Yes,60,No,DSL,Month-to-month,41.61,2496.6,Yes
C0020,Male,0,No,Yes,12,Yes,Fiber optic,Month-to-month,32.99,395.88,No
C0021,Female,0,No,No,49,Yes,DSL,One year,30.41,1490.09,Yes
C0022,Male,0,Yes,No,42,Yes,DSL,One year,22.45,942.9,No
C0023,Female,0,No,No,38,Yes,Fiber optic,One year,67.12,2550.56,No
C0024,Female,0,Yes,No,45,Yes,DSL,Two year,39.64,1783.8,No
C0025,Female,0,Yes,No,35,Yes,Fiber optic,One year,109.05,3816.75,No
C0026,Female,0,Yes,No,30,Yes,Fiber optic,One year,71.7,2151.0,No
C0027,Female,0,Yes,Yes,30,Yes,Fiber optic,Two year,32.41,972.3,No
C0028,Female,0,Yes,No,6,Yes,Fiber optic,One year,81.99,491.94,No
C0029,Female,0,No,No,67,Yes,Fiber optic,Month-to-month,100.8,6753.6,No
C0030,Female,0,No,Yes,7,Yes,Fiber optic,Two year,87.07,609.49,Yes
C0031,Male,1,No,No,52,Yes,Fiber optic,Month-to-month,26.88,1397.76,Yes
C0032,Male,0,No,No,14,Yes,Fiber optic,One year,100.63,1408.82,No
C0033,Female,0,Yes,Yes,15,Yes,Fiber optic,Two year,91.45,1371.75,Yes
C0034,Female,0,Yes,Yes,21,Yes,Fiber optic,One year,34.25,719.25,No
C0035,Female,0,Yes,No,35,Yes,DSL,One year,24.66,863.1,No
C0036,Male,0,Yes,Yes,66,Yes,DSL,One year,70.16,4630.56,No
C0037,Female,0,No,No,2,No,DSL,Month-to-month,34.04,68.08,No
C0038,Male,0,Yes,No,35,Yes,Fiber optic,Two year,95.11,3328.85,No
C0039,Male,1,Yes,No,20,Yes,Fiber optic,Month-to-month,52.25,1045.0,No
C0040,Male,0,No,No,10,Yes,No,Month-to-month,102.16,1021.6,Yes
C0041,Male,0,No,No,25,Yes,Fiber optic,Month-to-month,70.91,1772.75,No
C0042,Male,0,No,No,66,Yes,Fiber optic,Month-to-month,36.44,2405.04,Yes
C0043,Female,0,No,No,25,Yes,DSL,Month-to-month,32.56,814.0,Yes
C0044,Female,0,Yes,No,54,Yes,Fiber optic,Two year,71.88,3881.52,No
C0045,Female,0,Yes,Yes,33,Yes,Fiber optic,Month-to-month,88.57,2922.81,No
C0046,Female,0,No,No,36,Yes,No,Month-to-month,90.34,3252.24,No
C0047,Female,0,Yes,No,14,Yes,DSL,Month-to-month,44.82,627.48,Yes
C0048,Male,0,Yes,No,65,No,Fiber optic,Month-to-month,38.38,2494.7,No
C0049,Female,0,Yes,No,54,Yes,Fiber optic,One year,21.51,1161.54,Yes
C0050,Female,1,No,No,52,Yes,Fiber optic,Month-to-month,81.13,4218.76,No
C0051,Male,0,Yes,No,3,Yes,Fiber optic,Month-to-month,26.89,80.67,No
C0052,Female,0,No,No,41,Yes,Fiber optic,Month-to-month,57.87,2372.67,No
C0053,Male,0,Yes,No,6,Yes,DSL,Month-to-month,74.15,444.9,Yes
C0054,Female,0,Yes,No,25,Yes,Fiber optic,Month-to-month,104.34,2608.5,No
C0055,Male,0,Yes,No,13,Yes,Fiber optic,Month-to-month,48.06,624.78,No
C0056,Female,0,No,No,8,Yes,Fiber optic,One year,42.48,339.84,No
C0057,Female,0,Yes,Yes,21,Yes,Fiber optic,Two year,78.87,1656.27,No
C0058,Male,0,No,No,68,Yes,DSL,Month-to-month,75.73,5149.64,No
C0059,Male,0,No,No,25,Yes,DSL,Two year,49.89,1247.25,No
C0060,Male,0,No,Yes,68,Yes,No,Month-to-month,103.53,7040.04,No
C0061,Male,0,Yes,No,45,Yes,Fiber optic,Month-to-month,96.04,4321.8,No
C0062,Male,1,Yes,Yes,60,Yes,No,Two year,40.16,2409.6,No
C0063,Male,0,Yes,No,12,Yes,DSL,Month-to-month,41.52,498.24,No
C0064,Male,0,Yes,No,32,Yes,Fiber optic,Two year,66.11,2115.52,No
C0065,Male,0,No,Yes,13,Yes,Fiber optic,Month-to-month,89.62,1165.06,Yes
C0066,Female,0,No,No,31,Yes,No,Month-to-month,23.96,742.76,Yes
C0067,Female,0,No,No,20,Yes,DSL,Month-to-month,82.4,1648.0,No
C0068,Male,0,Yes,No,18,No,Fiber optic,One year,78.34,1410.12,No
C0069,Female,0,No,Yes,60,Yes,Fiber optic,One year,40.83,2449.8,Yes
C0070,Female,0,Yes,Yes,63,Yes,DSL,One year,81.32,5123.16,No
C0071,Female,0,No,No,6,No,Fiber optic,Month-to-month,104.62,627.72,Yes
